Texto,Tipo de solicitud
"Hice la consignacion correspondiente pero el sistema todavia muestra saldo pendiente, pueden verificar.",Solicitud de pagos
"Ya complete el acuerdo de pago, necesito el soporte oficial de terminacion del proceso.",Terminacion de proceso
Quisiera saber el tiempo estimado para procesar la devolucion de saldo que ya solicite hace un mes.,Devolucion de saldos
"Se realizo un cobro duplicado el mes pasado, necesito que me devuelvan ese valor.",Devolucion de saldos
"Cuando puedo esperar el memorial de terminacion de mi caso, ya cumpli con todo lo acordado.",Terminacion de proceso
Necesito que mi peticion sea remitida al area de cartera ya que no corresponde a este canal.,Traslado a otras areas
"Este tema es sobre un inmueble, agradezco trasladar mi mensaje al area correspondiente.",Traslado a otras areas
"Adjunto el soporte de la ultima cuota pagada segun el plan acordado, favor confirmar recibido.",Solicitud de pagos
"Mi solicitud parece corresponder a otra dependencia, podrian trasladarla al area correspondiente.",Traslado a otras areas
Necesito saber cuales son los requisitos para iniciar un acuerdo de pago con la entidad.,Peticion de informacion general
"Llevo varias semanas sin respuesta a mi solicitud anterior, esto ya es la tercera vez que escribo.",Quejas de atencion
Solicito informacion sobre los tiempos de respuesta estimados para este tipo de solicitud.,Peticion de informacion general
Quisiera conocer el procedimiento completo para actualizar mis datos de contacto.,Peticion de informacion general
"Cancele la totalidad de la deuda pero quedo un saldo a favor, como puedo reclamarlo.",Devolucion de saldos
Solicito la devolucion de un pago que se hizo por error a un numero de obligacion incorrecto.,Devolucion de saldos
Quiero saber en que estado se encuentra el proceso de terminacion de mi obligacion tras el ultimo pago.,Terminacion de proceso
Quisiera informacion general sobre los canales de atencion disponibles para radicar una queja.,Peticion de informacion general
Podrian enviarme el detalle de todas las cuotas pagadas durante el año pasado.,Consulta de historial
Quiero presentar una queja formal por la falta de respuesta oportuna a mi caso.,Quejas de atencion
Solicito la actualizacion de mi historial crediticio ya que la deuda fue saldada completamente.,Solicitud de pagos
"Escribi por este medio pero creo que mi caso debe atenderlo el area juridica, favor reasignar.",Traslado a otras areas
"Buenos dias, quiero confirmar si mi pago del mes pasado ya fue aplicado a mi cuenta, adjunto el comprobante de la transaccion.",Solicitud de pagos
Estoy inconforme con el tiempo de respuesta de mi peticion radicada hace mas de un mes.,Quejas de atencion
Se me informo que tengo saldo a favor desde el año pasado y aun no he recibido respuesta.,Devolucion de saldos
Necesito verificar si todos mis abonos quedaron correctamente registrados en el sistema.,Consulta de historial
"Necesito el certificado de pago total de mi deuda, ya cancele el monto acordado el mes anterior.",Solicitud de pagos
El funcionario que me atendio no resolvio mi duda y no he recibido seguimiento desde entonces.,Quejas de atencion
Podrian indicarme el correo o telefono de contacto del area encargada de mi tramite.,Peticion de informacion general
Solicito el cierre formal de mi expediente ya que la deuda esta completamente saldada.,Terminacion de proceso
Quisiera saber los pasos para formalizar un acuerdo de pago por la obligacion que tengo pendiente.,Solicitud de pagos
Necesito confirmar que mi proceso quedo cerrado despues del ultimo pago realizado.,Terminacion de proceso
Pague de mas en mi ultima cuota y quisiera solicitar la devolucion del excedente a mi cuenta bancaria.,Devolucion de saldos
Necesito el historico completo de pagos realizados sobre mi obligacion desde el inicio del acuerdo.,Consulta de historial
Quisiera una copia del estado de cuenta actualizado a la fecha de hoy.,Consulta de historial
Solicito el historial de mis pagos para presentar como soporte ante otra entidad.,Consulta de historial
"Realice el pago de mi obligacion hace dos semanas y aun no veo reflejado el abono, podrian revisar por favor.",Solicitud de pagos
"Buen dia, quisiera reprogramar la fecha de mi proxima cuota por motivos personales.",Solicitud de pagos
