review_id,comment,language,year,reference_polarity
1,"Amazing food and the staff was super friendly, we will come back",en,2019,positive
2,"Excelente comida y el trato del personal fue muy amable, volveremos",es,2023,positive
3,"Great place, clean, cozy, and the portions were generous",en,2019,positive
4,"Amazing food and the staff was super friendly, we will come back",en,2023,positive
5,Esperamos más de una hora y la comida llegó fría,es,2022,negative
6,"Decent place to eat, nothing special but nothing bad either",en,2022,neutral
7,"Amazing food and the staff was super friendly, we will come back",en,2022,positive
8,Esperamos más de una hora y la comida llegó fría,es,2022,negative
9,"Excelente comida y el trato del personal fue muy amable, volveremos",es,2022,positive
10,"Lugar muy agradable, limpio y las porciones generosas",es,2023,positive
11,"Comida promedio, servicio promedio, está bien para algo rápido",es,2021,neutral
12,Abbiamo aspettato piu di un ora e il cibo era freddo,it,2019,negative
13,"Excellent service, the waiter recommended the perfect wine pairing",en,2023,positive
14,"Decent place to eat, nothing special but nothing bad either",en,2022,neutral
15,"Great place, clean, cozy, and the portions were generous",en,2022,positive
16,"Excellente nourriture et personnel tres accueillant, nous reviendrons",fr,2022,positive
17,"Great place, clean, cozy, and the portions were generous",en,2019,positive
18,"Amazing food and the staff was super friendly, we will come back",en,2019,positive
19,"Experiencia decepcionante, no lo recomendaría a mis amigos",es,2021,negative
20,We waited over an hour and the food arrived cold,en,2023,negative
21,"Disappointing experience, would not recommend to friends",en,2019,negative
22,"Cibo delizioso e personale molto gentile, torneremo sicuramente",it,2022,positive
23,"Tolles Essen und sehr freundliches Personal, wir kommen wieder",de,2022,positive
24,"Comida promedio, servicio promedio, está bien para algo rápido",es,2023,neutral
25,"Excellent service, the waiter recommended the perfect wine pairing",en,2023,positive
26,"Amazing food and the staff was super friendly, we will come back",en,2020,positive
27,"Great place, clean, cozy, and the portions were generous",en,2023,positive
28,"Best pasta we had on the whole trip, loved the atmosphere",en,2022,positive
29,"Overpriced for what you get, service was slow and rude",en,2023,negative
30,Esperamos más de una hora y la comida llegó fría,es,2022,negative
31,"Ein anstaendiger Ort zum Essen, nichts besonderes",de,2022,neutral
32,"Great place, clean, cozy, and the portions were generous",en,2019,positive
33,"Best pasta we had on the whole trip, loved the atmosphere",en,2020,positive
34,"La mejor pasta de todo el viaje, nos encantó el ambiente",es,2022,positive
35,Nous avons attendu plus d'une heure et le repas etait froid,fr,2023,negative
36,"Muy buen servicio, el mesero recomendó un vino perfecto",es,2023,positive
37,"Excelente comida y el trato del personal fue muy amable, volveremos",es,2023,positive
38,"Excellente nourriture et personnel tres accueillant, nous reviendrons",fr,2022,positive
39,The place was noisy and our order came out wrong twice,en,2022,negative
40,"La mejor pasta de todo el viaje, nos encantó el ambiente",es,2023,positive
41,"Excelente comida y el trato del personal fue muy amable, volveremos",es,2023,positive
